name,hex,r,g,b
Dark Pastel Red,#c23b22,194,59,34
Dark Pink,#e75480,231,84,128
Dark Powder Blue,#003399,0,51,153
Dark Puce,#4f3a3c,79,58,60
Dark Raspberry,#872657,135,38,87
Dark Red,#8b0000,139,0,0
Dark Salmon,#e9967a,233,150,122
Dark Scarlet,#560319,86,3,25
Dark Sea Green,#8fbc8f,143,188,143
Dark Sienna,#3c1414,60,20,20
Dark Slate Blue,#483d8b,72,61,139
Dark Slate Gray,#2f4f4f,47,79,79
Dark Spring Green,#177245,23,114,69
Dark Tan,#918151,145,129,81
Dark Tangerine,#ffa812,255,168,18
Dark Taupe,#483c32,72,60,50
Dark Terra Cotta,#cc4e5c,204,78,92
Dark Turquoise,#00ced1,0,206,209
Dark Violet,#9400d3,148,0,211
Dark Yellow,#9b870c,155,135,12
Dartmouth Green,#00703c,0,112,60
Davy'S Grey,#555555,85,85,85
Debian Red,#d70a53,215,10,83
Deep Carmine,#a9203e,169,32,62
Deep Carmine Pink,#ef3038,239,48,56
Deep Carrot Orange,#e9692c,233,105,44
Deep Cerise,#da3287,218,50,135
Deep Champagne,#fad6a5,250,214,165
Deep Chestnut,#b94e48,185,78,72
Deep Coffee,#704241,112,66,65
Deep Fuchsia,#c154c1,193,84,193
Deep Green,#056608,5,102,8
Deep Jungle Green,#004b49,0,75,73
Deep Lemon,#f5c71a,245,199,26
Deep Lilac,#9955bb,153,85,187
Deep Magenta,#cc00cc,204,0,204
Deep Mauve,#d473d4,212,115,212
Deep Moss Green,#355e3b,53,94,59
Deep Peach,#ffcba4,255,203,164
Deep Pink,#ff1493,255,20,147
Deep Puce,#a95c68,169,92,104
Deep Red,#850101,133,1,1
Deep Ruby,#843f5b,132,63,91
Deep Saffron,#ff9933,255,153,51
Deep Sky Blue,#00bfff,0,191,255
Deep Space Sparkle,#4a646c,74,100,108
Deep Taupe,#7e5e60,126,94,96
Deep Tuscan Red,#66424d,102,66,77
Deep Violet,#330066,51,0,102
Deer,#ba8759,186,135,89
Denim,#1560bd,21,96,189
Desert,#c19a6b,193,154,107
Desert Sand,#edc9af,237,201,175
Dim Gray,#696969,105,105,105
Dodger Blue,#1e90ff,30,144,255
Dogwood Rose,#d71868,215,24,104
Dollar Bill,#85bb65,133,187,101
Donkey Brown,#664c28,102,76,40
Drab,#967117,150,113,23
Duke Blue,#00009c,0,0,156
Dust Storm,#e5ccc9,229,204,201
Dutch White,#efdfbb,239,223,187
Earth Yellow,#e1a95f,225,169,95
Ebony,#555d50,85,93,80
Ecru,#c2b280,194,178,128
Eerie Black,#1b1b1b,27,27,27
Eggplant,#614051,97,64,81
Eggshell,#f0ead6,240,234,214
Egyptian Blue,#1034a6,16,52,166
Electric Blue,#7df9ff,125,249,255
Electric Crimson,#ff003f,255,0,63
Electric Cyan,#00ffff,0,255,255
Electric Green,#00ff00,0,255,0
Electric Indigo,#6f00ff,111,0,255
Electric Lavender,#f4bbff,244,187,255
Electric Lime,#ccff00,204,255,0
Electric Purple,#bf00ff,191,0,255
Electric Ultramarine,#3f00ff,63,0,255
Electric Violet,#8f00ff,143,0,255
Electric Yellow,#ffff00,255,255,0
Emerald,#50c878,80,200,120
Eminence,#6c3082,108,48,130
English Green,#1b4d3e,27,77,62
English Lavender,#b48395,180,131,149
English Red,#ab4b52,171,75,82
English Violet,#563c5c,86,60,92
Eton Blue,#96c8a2,150,200,162
Eucalyptus,#44d7a8,68,215,168
Fallow,#c19a6b,193,154,107
Falu Red,#801818,128,24,24
Fandango,#b53389,181,51,137
Fandango Pink,#de5285,222,82,133
Fashion Fuchsia,#f400a1,244,0,161
Fawn,#e5aa70,229,170,112
Feldgrau,#4d5d53,77,93,83
Feldspar,#fdd5b1,253,213,177
Fern Green,#4f7942,79,121,66
Ferrari Red,#ff2800,255,40,0
Field Drab,#6c541e,108,84,30
Firebrick,#b22222,178,34,34
Fire Engine Red,#ce2029,206,32,41
Flame,#e25822,226,88,34
Flamingo Pink,#fc8eac,252,142,172
Flattery,#6b4423,107,68,35
Flavescent,#f7e98e,247,233,142
Flax,#eedc82,238,220,130
Flirt,#a2006d,162,0,109
Floral White,#fffaf0,255,250,240
Fluorescent Orange,#ffbf00,255,191,0
Fluorescent Pink,#ff1493,255,20,147
Fluorescent Yellow,#ccff00,204,255,0
Folly,#ff004f,255,0,79
Forest Green (Traditional),#014421,1,68,33
Forest Green (Web),#228b22,34,139,34
French Beige,#a67b5b,166,123,91
French Bistre,#856d4d,85,109,77
French Blue,#0072bb,0,114,187
French Fuchsia,#fd3f92,253,63,146
French Lilac,#86608e,134,96,142
French Lime,#9efd38,158,253,56
French Mauve,#d473d4,212,115,212
French Pink,#fd6c9e,253,108,158
French Plum,#811453,129,20,83
French Puce,#4e1609,78,22,9
French Raspberry,#c72c48,199,44,72
French Rose,#f64a8a,246,74,138
French Sky Blue,#77b5fe,119,181,254
French Violet,#8806ce,136,6,206
French Wine,#ac1e44,172,30,68
Fresh Air,#a6e7ff,166,231,255
Fuchsia,#ff00ff,255,0,255
Fuchsia (Crayola),#c154c1,193,84,193
Fuchsia Pink,#ff77ff,255,119,255
Fuchsia Rose,#c74375,199,67,117
Fulvous,#e48400,228,132,0
Fuzzy Wuzzy,#cc6666,204,102,102
Gainsboro,#dcdcdc,220,220,220
Gamboge,#e49b0f,228,155,15
Gamboge Orange (Brown),#996600,153,102,0
Generic Viridian,#007f66,0,127,102
Ghost White,#f8f8ff,248,248,255
Giant'S Club,#b05c52,176,92,82
Ginger,#b06500,176,101,0
Glaucous,#6082b6,96,130,182
Glitter,#e6e8fa,230,232,250
Go Green,#00ab66,0,171,102
Gold (Metallic),#d4af37,212,175,55
Gold (Web) (Golden),#ffd700,255,215,0
Gold Fusion,#85754e,85,117,78
Golden Brown,#996515,153,101,21
Golden Poppy,#fcc200,252,194,0
Golden Yellow,#ffdf00,255,223,0
Goldenrod,#daa520,218,165,32
Granny Smith Apple,#a8e4a0,168,228,160
Grape,#6f2da8,111,45,168
Gray,#808080,128,128,128
Gray (Html/Css Gray),#808080,128,128,128
Gray (X11 Gray),#bebebe,190,190,190
Gray-Asparagus,#465945,70,89,69
Gray-Blue,#8c92ac,140,146,172
Green (Color Wheel) (X11 Green),#00ff00,0,255,0
Green (Crayola),#1cac78,28,172,120
Green (Html/Css Green),#008000,0,128,0
Green (Munsell),#00a877,0,168,119
Green (Ncs),#009f6b,0,159,107
Green (Pantone),#00ad43,0,173,67
Green (Pigment),#00a550,0,165,80
Green (Ryb),#66b032,102,176,50
Green-Yellow,#adff2f,173,255,47
Grizzly,#885818,136,88,24
Grullo,#a99a86,169,154,134
Guppie Green,#00ff7f,0,255,127
Halayà Úbe,#663854,102,56,84
Han Blue,#446ccf,68,108,207
Han Purple,#5218fa,82,24,250
Hansa Yellow,#e9d66b,233,214,107
Harlequin,#3fff00,63,255,0
Harvard Crimson,#c90016,201,0,22
Harvest Gold,#da9100,218,145,0
Heart Gold,#808000,128,128,0
Heliotrope,#df73ff,223,115,255
Heliotrope Gray,#aa98a9,170,152,169
Hollywood Cerise,#f400a1,244,0,161
Honeydew,#f0fff0,240,255,240
Honolulu Blue,#007fbf,0,127,191
Hooker'S Green,#49796b,73,121,107
Hot Magenta,#ff1dce,255,29,206
Hot Pink,#ff69b4,255,105,180
Hunter Green,#355e3b,53,94,59
Iceberg,#71a6d2,113,166,210
Icterine,#fcf75e,252,247,94
Imperial Blue,#002395,0,35,149
Imperial Purple,#66023c,66,2,60
Imperial Red,#ed2939,237,41,57
Inchworm,#b2ec5d,178,236,93
Independence,#4c516d,76,81,109
India Green,#138808,19,136,8
Indian Red,#cd5c5c,205,92,92
Indian Yellow,#e3a857,227,168,87
Indigo,#4b0082,75,0,130
Indigo (Dye),#091f92,9,31,146
Indigo (Web),#4b0082,75,0,130
International Klein Blue,#002fa7,0,47,167
International Orange (Aerospace),#ff4f00,255,79,0
International Orange (Engineering),#ba160c,186,22,12
International Orange (Golden Gate Bridge),#c0362c,192,54,44
Iris,#5a4fcf,90,79,207
Irresistible,#b3446c,179,68,108
Isabelline,#f4f0ec,244,240,236
Islamic Green,#009000,0,144,0
Italian Sky Blue,#b2ffff,178,255,255
Ivory,#fffff0,255,255,240
Jade,#00a86b,0,168,107
Japanese Carmine,#9d2933,157,41,51
Japanese Indigo,#264348,38,67,72
Japanese Violet,#5b3256,91,50,86
Jasmine,#f8de7e,248,222,126
Jasper,#d73b3e,215,59,62
Jazzberry Jam,#a50b5e,165,11,94
Jelly Bean,#da614e,218,97,78
Jet,#343434,52,52,52
Jonquil,#f4ca16,244,202,22
Jordy Blue,#8ab9f1,138,185,241
June Bud,#bdda57,189,218,87
Jungle Green,#29ab87,41,171,135
Kelly Green,#4cbb17,76,187,23
Kenyan Copper,#7c1c05,124,28,5
Keppel,#3ab09e,58,176,158
Khaki (Html/Css) (Khaki),#c3b091,195,176,145
Khaki (X11) (Light Khaki),#f0e68c,240,230,140
Kobe,#882d17,136,45,23
Kobi,#e79fc4,231,159,196
Kombu Green,#354230,53,66,48
Ksu Purple,#512888,81,40,136
Ku Crimson,#e8000d,232,0,13
La Salle Green,#087830,8,120,48
Languid Lavender,#d6cadd,214,202,221
Lapis Lazuli,#26619c,38,97,156
Laser Lemon,#ffff66,255,255,102
Laurel Green,#a9ba9d,169,186,157
Lava,#cf1020,207,16,32
Lavender (Floral),#b57edc,181,126,220
Lavender (Web),#e6e6fa,230,230,250
Lavender Blue,#ccccff,204,204,255
Lavender Blush,#fff0f5,255,240,245
Lavender Gray,#c4c3d0,196,195,208
Lavender Indigo,#9457eb,148,87,235
Lavender Magenta,#ee82ee,238,130,238
Lavender Mist,#e6e6fa,230,230,250
Lavender Pink,#fbaed2,251,174,210
Lavender Purple,#967bb6,150,123,182
Lavender Rose,#fba0e3,251,160,227
Lawn Green,#7cfc00,124,252,0
Lemon,#fff700,255,247,0
Lemon Chiffon,#fffacd,255,250,205
Lemon Curry,#cca01d,204,160,29
Lemon Glacier,#fdff00,253,255,0
Lemon Lime,#e3ff00,227,255,0
Lemon Meringue,#f6eabe,246,234,190
Lemon Yellow,#fff44f,255,244,79
Lenurple,#ba93d8,186,147,216
Licorice,#1a1110,26,17,16
Liberty,#545aa7,84,90,167
Light Apricot,#fdd5b1,253,213,177
Light Blue,#add8e6,173,216,230
Light Brown,#b5651d,181,101,29
Light Carmine Pink,#e66771,230,103,113
Light Cobalt Blue,#88ace0,136,172,224
Light Coral,#f08080,240,128,128
Light Cornflower Blue,#93ccea,147,204,234
Light Crimson,#f56991,245,105,145
Light Cyan,#e0ffff,224,255,255
Light Deep Pink,#ff5ccd,255,92,205
Light French Beige,#c8ad7f,200,173,127
Light Fuchsia Pink,#f984ef,249,132,239
Light Goldenrod Yellow,#fafad2,250,250,210
Light Gray,#d3d3d3,211,211,211
Light Green,#90ee90,144,238,144
Light Hot Pink,#ffb3de,255,179,222
Light Khaki,#f0e68c,240,230,140
Light Medium Orchid,#d39bcb,211,155,203
Light Moss Green,#addfad,173,223,173
Light Orange,#fed8b1,254,216,177
Light Orchid,#e6a8d7,230,168,215
Light Pastel Purple,#b19cd9,177,156,217
Light Pink,#ffb6c1,255,182,193
Light Red Ochre,#e97451,233,116,81
Light Salmon,#ffa07a,255,160,122
Light Salmon Pink,#ff9999,255,153,153
Light Sea Green,#20b2aa,32,178,170
Light Sky Blue,#87cefa,135,206,250
Light Slate Gray,#778899,119,136,153
Light Steel Blue,#b0c4de,176,196,222
Light Taupe,#b38b6d,179,139,109
Light Thulian Pink,#e68fac,230,143,172
Light Yellow,#ffffe0,255,255,224
Lilac,#c8a2c8,200,162,200
Lilac Luster,#ae98aa,174,152,170
Lime (Color Wheel),#bfff00,191,255,0
Lime (Web) (X11 Green),#00ff00,0,255,0
Lime Green,#32cd32,50,205,50
Limerick,#9dc209,157,194,9
Lincoln Green,#195905,25,89,5
Linen,#faf0e6,250,240,230
Lion,#c19a6b,193,154,107
Liseran Purple,#de6fa1,222,111,161
Little Boy Blue,#6ca0dc,108,160,220
Liver,#674c47,103,76,71
Liver (Dogs),#b86d29,184,109,41
Liver (Organ),#6c2e1f,108,46,31
Liver Chestnut,#987456,152,116,86
Livid,#6699cc,102,153,204
Lumber,#ffe4cd,255,228,205
Lust,#e62020,230,32,32
Macaroni And Cheese,#ffbd88,255,189,136
Madang,#b7f0be,183,240,190
Magenta,#ff00ff,255,0,255
Magenta (Crayola),#ff55a3,255,85,163
Magenta (Dye),#ca1f7b,202,31,123
Magenta (Pantone),#d0417e,208,65,126
Magenta (Process),#ff0090,255,0,144
Magenta Haze,#9f4576,159,69,118
Magenta-Pink,#cc338b,204,51,139
Magic Mint,#aaf0d1,170,240,209
Magnolia,#f8f4ff,248,244,255
Mahogany,#c04000,192,64,0
Maize,#fbec5d,251,236,93
Majorelle Blue,#6050dc,96,80,220
Malachite,#0bda51,11,218,81
Manatee,#979aaa,151,154,170
Mango Tango,#ff8243,255,130,67
Mantis,#74c365,116,195,101
Mardi Gras,#880085,136,0,133
Marigold,#eaa221,234,162,33
Maroon (Crayola),#c32148,195,33,72
Maroon (Html/Css),#800000,128,0,0
Maroon (X11),#b03060,176,48,96
Mauve,#e0b0ff,224,176,255
Mauve Taupe,#915f6d,145,95,109
Mauvelous,#ef98aa,239,152,170
May Green,#4c9141,76,145,65
Maya Blue,#73c2fb,115,194,251
Meat Brown,#e5b73b,229,183,59
Medium Aquamarine,#66ddaa,102,221,170
Medium Blue,#0000cd,0,0,205
Medium Candy Apple Red,#e2062c,226,6,44
Medium Carmine,#af4035,175,64,53
Medium Champagne,#f3e5ab,243,229,171
Medium Electric Blue,#035096,3,80,150
Medium Jungle Green,#1c352d,28,53,45
Medium Lavender Magenta,#dda0dd,221,160,221
Medium Orchid,#ba55d3,186,85,211
Medium Persian Blue,#0067a5,0,103,165
Medium Purple,#9370db,147,112,219
Medium Red-Violet,#bb3385,187,51,133
Medium Ruby,#aa4069,170,64,105
Medium Sea Green,#3cb371,60,179,113
Medium Sky Blue,#80daeb,128,218,235
Medium Slate Blue,#7b68ee,123,104,238
Medium Spring Bud,#c9dc87,201,220,135
Medium Spring Green,#00fa9a,0,250,154
Medium Taupe,#674c47,103,76,71
Medium Turquoise,#48d1cc,72,209,204
Medium Tuscan Red,#79443b,121,68,59
Medium Vermilion,#d9603b,217,96,59
Medium Violet-Red,#c71585,199,21,133
Mellow Apricot,#f8b878,248,184,120
Mellow Yellow,#f8de7e,248,222,126
Melon,#fdbcb4,253,188,180
Metallic Seaweed,#0a7e8c,10,126,140
Metallic Sunburst,#9c7c38,156,124,56
Mexican Pink,#e4007c,228,0,124
Midnight Blue,#191970,25,25,112
Midnight Green (Eagle Green),#004953,0,73,83
Mikado Yellow,#ffc40c,255,196,12
Mindaro,#e3f988,227,249,136
Ming,#36747d,54,116,125
Mint,#3eb489,62,180,137
Mint Cream,#f5fffa,245,255,250
Mint Green,#98ff98,152,255,152
Misty Rose,#ffe4e1,255,228,225
Moccasin,#faebd7,250,235,215
Mode Beige,#967117,150,113,23
Moonstone Blue,#73a9c2,115,169,194
Mordant Red 19,#ae0c00,174,12,0
Moss Green,#8a9a5b,138,154,91
Mountain Meadow,#30ba8f,48,186,143
Mountbatten Pink,#997a8d,153,122,141
Msu Green,#18453b,24,69,59
Mughal Green,#306030,48,96,48
Mulberry,#c54b8c,197,75,140
Mustard,#ffdb58,255,219,88
Naples Yellow,#fada5e,250,218,94
Navajo White,#ffdead,255,222,173
Navy,#000080,0,0,128
Navy Purple,#9457eb,148,87,235
Neon Carrot,#ffa343,255,163,67
Neon Fuchsia,#fe4164,254,65,100
Neon Green,#39ff14,57,255,20
New Car,#214fc6,33,79,198
New York Pink,#d7837f,215,131,127
Non-Photo Blue,#a4dded,164,221,237
North Texas Green,#059033,5,144,51
Nyanza,#e9ffdb,233,255,219
Ocean Boat Blue,#0077be,0,119,190
Ochre,#cc7722,204,119,34
Office Green,#008000,0,128,0
Old Burgundy,#43302e,67,48,46
Old Gold,#cfb53b,207,181,59
Old Heliotrope,#563c5c,86,60,92
Old Lace,#fdf5e6,253,245,230
Old Lavender,#796878,121,104,120
Old Mauve,#673147,103,49,71
Old Moss Green,#867e36,134,126,54
Old Rose,#c08081,192,128,129
Old Silver,#848482,132,132,130
Olive,#808000,128,128,0
Olive Drab #3,#6b8e23,107,142,35
Olive Drab #7,#3c341f,60,52,31
Olivine,#9ab973,154,185,115
Onyx,#353839,53,56,57
Opera Mauve,#b784a7,183,132,167
Orange (Color Wheel),#ff7f00,255,127,0
Orange (Crayola),#ff7538,255,117,56
Orange (Pantone),#ff5800,255,88,0
Orange (Ryb),#fb9902,251,153,2
Orange (Web),#ffa500,255,165,0
Orange Peel,#ff9f00,255,159,0
Orange-Red,#ff4500,255,69,0
Orange-Yellow,#f8d568,248,213,104
Orchid,#da70d6,218,112,214
Orchid Pink,#f2bdcd,242,189,205
Orioles Orange,#fb4f14,251,79,20
Otter Brown,#654321,101,67,33
Outer Space,#414a4c,65,74,76
Outrageous Orange,#ff6e4a,255,110,74
Oxford Blue,#002147,0,33,71
Ou Crimson Red,#990000,153,0,0
Pakistan Green,#006600,0,102,0
Palatinate Blue,#273be2,39,59,226
Palatinate Purple,#682860,104,40,96
Pale Aqua,#bcd4e6,188,212,230
Pale Blue,#afeeee,175,238,238
Pale Brown,#987654,152,118,84
Pale Carmine,#af4035,175,64,53
Pale Cerulean,#9bc4e2,155,196,226
Pale Chestnut,#ddadaf,221,173,175
Pale Copper,#da8a67,218,138,103
Pale Cornflower Blue,#abcdef,171,205,239
Pale Cyan,#87d3f8,135,211,248
Pale Gold,#e6be8a,230,190,138
Pale Goldenrod,#eee8aa,238,232,170
Pale Green,#98fb98,152,251,152
Pale Lavender,#dcd0ff,220,208,255
Pale Magenta,#f984e5,249,132,229
Pale Magenta-Pink,#ff99cc,255,153,204
Pale Pink,#fadadd,250,218,221
Pale Plum,#dda0dd,221,160,221
Pale Red-Violet,#db7093,219,112,147
Pale Robin Egg Blue,#96ded1,150,222,209
Pale Silver,#c9c0bb,201,192,187
Pale Spring Bud,#ecebbd,236,235,189
Pale Taupe,#bc987e,188,152,126
Pale Turquoise,#afeeee,175,238,238
Pale Violet,#cc99ff,204,153,255
Pale Violet-Red,#db7093,219,112,147
Pansy Purple,#78184a,120,24,74
Paolo Veronese Green,#009b7d,0,155,125
Papaya Whip,#ffefd5,255,239,213
Paradise Pink,#e63e62,230,62,98
Paris Green,#50c878,50,200,120
Pastel Blue,#aec6cf,174,198,207
Pastel Brown,#836953,131,105,83
Pastel Gray,#cfcfc4,207,207,196
Pastel Green,#77dd77,119,221,119
Pastel Magenta,#f49ac2,244,154,194
